danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.559,0.0973,8,-16.264,1,0.0463,0.986,0.000104,0.155,0.212,68.3,audio_features,78MIFwIW5oUNdaL6Sj8hTB,spotify:track:78MIFwIW5oUNdaL6Sj8hTB,https://api.spotify.com/v1/tracks/78MIFwIW5oUNdaL6Sj8hTB,https://api.spotify.com/v1/audio-analysis/78MIFwIW5oUNdaL6Sj8hTB,174867,3
0.483,0.145,1,-14.423,1,0.039,0.849,3.5e-06,0.214,0.284,72.863,audio_features,4mQz22nF9cyWqwuErTqc6V,spotify:track:4mQz22nF9cyWqwuErTqc6V,https://api.spotify.com/v1/tracks/4mQz22nF9cyWqwuErTqc6V,https://api.spotify.com/v1/audio-analysis/4mQz22nF9cyWqwuErTqc6V,185280,4
0.587,0.098,10,-15.196,0,0.0607,0.958,7e-06,0.114,0.288,71.523,audio_features,6o5RbQYhmF4yRRw7ZArxGL,spotify:track:6o5RbQYhmF4yRRw7ZArxGL,https://api.spotify.com/v1/tracks/6o5RbQYhmF4yRRw7ZArxGL,https://api.spotify.com/v1/audio-analysis/6o5RbQYhmF4yRRw7ZArxGL,224333,4
0.368,0.00363,1,-36.759,1,0.035,0.993,0.922,0.137,0.085,69.363,audio_features,1L4NadMj3Jj7YgGaikyhfr,spotify:track:1L4NadMj3Jj7YgGaikyhfr,https://api.spotify.com/v1/tracks/1L4NadMj3Jj7YgGaikyhfr,https://api.spotify.com/v1/audio-analysis/1L4NadMj3Jj7YgGaikyhfr,254000,3
0.279,0.0292,8,-26.804,1,0.0406,0.987,0.902,0.104,0.0338,136.732,audio_features,2u9VGZmVz7Rm01SfDgzcfA,spotify:track:2u9VGZmVz7Rm01SfDgzcfA,https://api.spotify.com/v1/tracks/2u9VGZmVz7Rm01SfDgzcfA,https://api.spotify.com/v1/audio-analysis/2u9VGZmVz7Rm01SfDgzcfA,293147,3
0.343,0.0342,8,-25.591,1,0.0406,0.991,0.92,0.1,0.0378,60.228,audio_features,6GzMz3s0K1YKwRVI36CgRx,spotify:track:6GzMz3s0K1YKwRVI36CgRx,https://api.spotify.com/v1/tracks/6GzMz3s0K1YKwRVI36CgRx,https://api.spotify.com/v1/audio-analysis/6GzMz3s0K1YKwRVI36CgRx,270000,3
0.209,0.00299,2,-33.974,1,0.0491,0.992,0.955,0.104,0.039,66.685,audio_features,4b59u2E74KcDuyHCRBkf5v,spotify:track:4b59u2E74KcDuyHCRBkf5v,https://api.spotify.com/v1/tracks/4b59u2E74KcDuyHCRBkf5v,https://api.spotify.com/v1/audio-analysis/4b59u2E74KcDuyHCRBkf5v,442172,3
0.407,0.00616,7,-35.91,0,0.0384,0.994,0.949,0.0721,0.162,95.761,audio_features,7jBaUnodzhFJCMaPRC4cD7,spotify:track:7jBaUnodzhFJCMaPRC4cD7,https://api.spotify.com/v1/tracks/7jBaUnodzhFJCMaPRC4cD7,https://api.spotify.com/v1/audio-analysis/7jBaUnodzhFJCMaPRC4cD7,131333,1
0.341,0.0142,2,-28.293,1,0.0388,0.993,0.921,0.113,0.0384,76.382,audio_features,3GecLjGMqzjmgkvy2v41Wf,spotify:track:3GecLjGMqzjmgkvy2v41Wf,https://api.spotify.com/v1/tracks/3GecLjGMqzjmgkvy2v41Wf,https://api.spotify.com/v1/audio-analysis/3GecLjGMqzjmgkvy2v41Wf,357747,1
0.269,0.00229,1,-39.158,1,0.0372,0.986,0.868,0.174,0.0882,69.659,audio_features,4ExtqIKNZLLmatRTVzlzFu,spotify:track:4ExtqIKNZLLmatRTVzlzFu,https://api.spotify.com/v1/tracks/4ExtqIKNZLLmatRTVzlzFu,https://api.spotify.com/v1/audio-analysis/4ExtqIKNZLLmatRTVzlzFu,312813,3
0.28,0.287,8,-22.167,0,0.0367,0.931,0.888,0.0762,0.509,87.953,audio_features,2Hnurh1BcigGbCGFOb4Uid,spotify:track:2Hnurh1BcigGbCGFOb4Uid,https://api.spotify.com/v1/tracks/2Hnurh1BcigGbCGFOb4Uid,https://api.spotify.com/v1/audio-analysis/2Hnurh1BcigGbCGFOb4Uid,287987,4
0.203,0.00399,1,-35.638,1,0.0405,0.985,0.922,0.111,0.0779,74.253,audio_features,0Jp7n6FKqGVxtXPMVYtMQr,spotify:track:0Jp7n6FKqGVxtXPMVYtMQr,https://api.spotify.com/v1/tracks/0Jp7n6FKqGVxtXPMVYtMQr,https://api.spotify.com/v1/audio-analysis/0Jp7n6FKqGVxtXPMVYtMQr,259573,4
0.329,0.0171,4,-30.374,1,0.0393,0.993,0.92,0.0904,0.127,65.054,audio_features,7lO0GHKtEZKLZ0l32upmll,spotify:track:7lO0GHKtEZKLZ0l32upmll,https://api.spotify.com/v1/tracks/7lO0GHKtEZKLZ0l32upmll,https://api.spotify.com/v1/audio-analysis/7lO0GHKtEZKLZ0l32upmll,287960,3
0.463,0.654,8,-9.72,1,0.0659,0.824,0.917,0.372,0.592,175.204,audio_features,54h1RKrrFJDsNOfhwmqu9o,spotify:track:54h1RKrrFJDsNOfhwmqu9o,https://api.spotify.com/v1/tracks/54h1RKrrFJDsNOfhwmqu9o,https://api.spotify.com/v1/audio-analysis/54h1RKrrFJDsNOfhwmqu9o,209573,4
0.228,0.263,3,-10.12,1,0.0275,0.896,0.317,0.103,0.224,83.903,audio_features,3HRMOZk689zaR3z6NpEdfu,spotify:track:3HRMOZk689zaR3z6NpEdfu,https://api.spotify.com/v1/tracks/3HRMOZk689zaR3z6NpEdfu,https://api.spotify.com/v1/audio-analysis/3HRMOZk689zaR3z6NpEdfu,204240,4
0.707,0.279,1,-12.738,1,0.14,0.889,0.388,0.153,0.516,146.2,audio_features,0H5dnOYw1mgdk7yhqpoVJh,spotify:track:0H5dnOYw1mgdk7yhqpoVJh,https://api.spotify.com/v1/tracks/0H5dnOYw1mgdk7yhqpoVJh,https://api.spotify.com/v1/audio-analysis/0H5dnOYw1mgdk7yhqpoVJh,192240,4
0.726,0.24,0,-10.199,1,0.0365,0.951,0.872,0.0859,0.715,132.47,audio_features,0NsYgpQcJeg2Wpq6fZkNEN,spotify:track:0NsYgpQcJeg2Wpq6fZkNEN,https://api.spotify.com/v1/tracks/0NsYgpQcJeg2Wpq6fZkNEN,https://api.spotify.com/v1/audio-analysis/0NsYgpQcJeg2Wpq6fZkNEN,193120,4
0.597,0.31,0,-10.441,1,0.0691,0.947,3.34e-05,0.452,0.615,145.725,audio_features,0KeSmGmcyyOhwUCe0i64uH,spotify:track:0KeSmGmcyyOhwUCe0i64uH,https://api.spotify.com/v1/tracks/0KeSmGmcyyOhwUCe0i64uH,https://api.spotify.com/v1/audio-analysis/0KeSmGmcyyOhwUCe0i64uH,206213,4
0.573,0.327,7,-9.937,1,0.059,0.92,0.0,0.499,0.865,180.204,audio_features,3IQszsgf4pVaETe1oDiSKs,spotify:track:3IQszsgf4pVaETe1oDiSKs,https://api.spotify.com/v1/tracks/3IQszsgf4pVaETe1oDiSKs,https://api.spotify.com/v1/audio-analysis/3IQszsgf4pVaETe1oDiSKs,190160,3
0.322,0.277,5,-12.352,0,0.0301,0.95,0.903,0.158,0.303,79.874,audio_features,5I0PyDPmeG5iyGzHeon3iL,spotify:track:5I0PyDPmeG5iyGzHeon3iL,https://api.spotify.com/v1/tracks/5I0PyDPmeG5iyGzHeon3iL,https://api.spotify.com/v1/audio-analysis/5I0PyDPmeG5iyGzHeon3iL,200240,4
0.433,0.211,3,-12.131,1,0.0288,0.958,0.0273,0.579,0.402,104.793,audio_features,0uqyI0sT4CJeNHt1rUuSBt,spotify:track:0uqyI0sT4CJeNHt1rUuSBt,https://api.spotify.com/v1/tracks/0uqyI0sT4CJeNHt1rUuSBt,https://api.spotify.com/v1/audio-analysis/0uqyI0sT4CJeNHt1rUuSBt,170467,4
